n,VR=1.10,VR=1.20,VR=1.30,VR=1.40
20,44.47,39.51,35.13,31.21
22,44.15,38.93,34.31,30.25
24,43.86,38.34,33.55,29.31
26,43.56,37.86,32.84,28.45
28,43.29,37.35,32.16,27.64
30,43.04,36.88,31.52,26.86
32,42.81,36.42,30.91,26.12
34,42.56,35.99,30.32,25.41
36,42.30,35.56,29.71,24.76
38,42.11,35.15,29.17,24.11
40,41.90,34.75,28.66,23.53
50,40.87,32.93,26.27,20.79
60,39.97,31.34,24.23,18.50
70,39.13,29.88,22.41,16.53
80,38.37,28.58,20.82,14.89
90,37.65,27.39,19.36,13.41
100,37.00,26.29,18.08,12.13
110,36.35,25.26,16.90,10.97
120,35.79,24.29,15.82,9.95
130,35.21,23.38,14.83,9.06
140,34.65,22.54,13.92,8.23
150,34.15,21.73,13.06,7.52
160,33.66,20.98,12.30,6.84
170,33.17,20.26,11.57,6.25
180,32.68,19.55,10.89,5.71
190,32.25,18.92,10.28,5.22
200,31.80,18.29,9.68,4.79
220,30.99,17.13,8.61,4.02
240,30.21,16.07,7.69,3.38
260,29.47,15.08,6.88,2.85
280,28.74,14.19,6.17,2.41
300,28.08,13.35,5.52,2.04
320,27.43,12.59,4.96,1.72
340,26.79,11.85,4.46,1.47
360,26.21,11.17,4.00,1.25
380,25.65,10.56,3.62,1.06
400,25.10,9.97,3.25,0.903
420,24.56,9.42,2.93,0.771
440,24.06,8.90,2.65,0.657
460,23.55,8.42,2.38,0.560
480,23.11,7.97,2.15,0.476
500,22.63,7.55,1.95,0.408
550,21.53,6.60,1.52,0.276
600,20.51,5.77,1.18,0.186
650,19.56,5.07,0.921,0.128
700,18.69,4.45,0.722,0.0872
750,17.85,3.91,0.566,0.0588
800,17.07,3.46,0.445,0.0409
850,16.34,3.04,0.350,0.0275
900,15.65,2.68,0.279,0.0190
950,14.99,2.37,0.220,0.0131
1000,14.37,2.10,0.172,0.00892
1100,13.22,1.65,0.108,0.00423
1200,12.18,1.29,0.0674,0.00191
1300,11.24,1.02,0.0434,0.00088
1400,10.40,0.805,0.0270,0.00031
1500,9.62,0.635,0.0162,0.00017
1600,8.91,0.499,0.0108,0.00012
1700,8.25,0.397,0.00661,0.00006
1800,7.66,0.316,0.00426,0.00002
1900,7.11,0.253,0.00257,0.00001
2000,6.61,0.200,0.00215,0
2100,6.15,0.160,0.00098,0
2200,5.72,0.126,0.00070,0
2300,5.32,0.100,0.00043,0
2400,4.95,0.0811,0.00028,0
2500,4.61,0.0647,0.00020,0
2600,4.30,0.0506,0.00016,0
2700,4.01,0.0413,0.00005,0
2800,3.74,0.0336,0.00003,0
2900,3.49,0.0261,0.00002,0
3000,3.26,0.0212,0,0
